text,rt,key_press,block_duration,timing_post_trial,trial_id,trial_type,trial_index,time_elapsed,internal_node_id,exp_id,subject_ID,view_history,stimulus,possible_responses,stim_duration,exp_stage,stim,correct_response,current_trial,current_block,chosenStim,chosenCond,stimLeft,cond_left,stimRight,cond_right
,-1,-1,1400,0,stim,poldrack-single-stim,24,35137,0.0-3.0-21.0,go_nogo_deval,424,,<div></div>,32,1400,test,,,,,,,,,,
,-1,-1,500,0,prompt_fixation,poldrack-single-stim,25,35639,0.0-3.0-22.0,go_nogo_deval,424,,<div class = centerbox><div class = fixation>+</div></div>,none,500,practice,,,,,,,,,,
,448,32,850,0,stim,nogo2,26,36490,0.0-3.0-23.0,go_nogo_deval,424,,<img class = center src='/static/experiments/go_nogo_deval/images/blue_circle.png'></img>,32,850,practice,blue_circle,-1,7,0,,,,,,
,-1,-1,1400,0,stim,poldrack-single-stim,27,37891,0.0-3.0-24.0,go_nogo_deval,424,,<div></div>,32,1400,test,,,,,,,,,,
,-1,-1,500,0,prompt_fixation,poldrack-single-stim,28,38393,0.0-3.0-25.0,go_nogo_deval,424,,<div class = centerbox><div class = fixation>+</div></div>,none,500,practice,,,,,,,,,,
,-1,-1,850,0,stim,nogo2,29,39245,0.0-3.0-26.0,go_nogo_deval,424,,<img class = center src='/static/experiments/go_nogo_deval/images/blue_circle.png'></img>,32,850,practice,blue_circle,-1,8,0,,,,,,
,-1,-1,1400,0,stim,poldrack-single-stim,30,40647,0.0-3.0-27.0,go_nogo_deval,424,,<div></div>,32,1400,test,,,,,,,,,,
,-1,-1,500,0,prompt_fixation,poldrack-single-stim,31,41149,0.0-3.0-28.0,go_nogo_deval,424,,<div class = centerbox><div class = fixation>+</div></div>,none,500,practice,,,,,,,,,,
,575,32,850,0,stim,go2,32,42001,0.0-3.0-29.0,go_nogo_deval,424,,<img class = center src='/static/experiments/go_nogo_deval/images/green_rhombus.png'></img>,32,850,practice,green_rhombus,32,9,0,,,,,,
,-1,-1,1400,0,stim,poldrack-single-stim,33,43403,0.0-3.0-30.0,go_nogo_deval,424,,<div></div>,32,1400,test,,,,,,,,,,
,-1,-1,500,0,prompt_fixation,poldrack-single-stim,34,43905,0.0-3.0-31.0,go_nogo_deval,424,,<div class = centerbox><div class = fixation>+</div></div>,none,500,practice,,,,,,,,,,
,530,32,850,0,stim,go2,35,44757,0.0-3.0-32.0,go_nogo_deval,424,,<img class = center src='/static/experiments/go_nogo_deval/images/green_rhombus.png'></img>,32,850,practice,green_rhombus,32,10,0,,,,,,
,-1,-1,1400,0,stim,poldrack-single-stim,36,46160,0.0-3.0-33.0,go_nogo_deval,424,,<div></div>,32,1400,test,,,,,,,,,,
,-1,-1,500,0,prompt_fixation,poldrack-single-stim,37,46662,0.0-3.0-34.0,go_nogo_deval,424,,<div class = centerbox><div class = fixation>+</div></div>,none,500,practice,,,,,,,,,,
,-1,-1,850,0,stim,nogo1,38,47514,0.0-3.0-35.0,go_nogo_deval,424,,<img class = center src='/static/experiments/go_nogo_deval/images/red_triangle.png'></img>,32,850,practice,red_triangle,-1,11,0,,,,,,
,-1,-1,1400,0,stim,poldrack-single-stim,39,48916,0.0-3.0-36.0,go_nogo_deval,424,,<div></div>,32,1400,test,,,,,,,,,,
,-1,-1,500,0,prompt_fixation,poldrack-single-stim,40,49417,0.0-3.0-37.0,go_nogo_deval,424,,<div class = centerbox><div class = fixation>+</div></div>,none,500,practice,,,,,,,,,,
,405,32,850,0,stim,go2,41,50269,0.0-3.0-38.0,go_nogo_deval,424,,<img class = center src='/static/experiments/go_nogo_deval/images/green_rhombus.png'></img>,32,850,practice,green_rhombus,32,12,0,,,,,,
,-1,-1,1400,0,stim,poldrack-single-stim,42,51671,0.0-3.0-39.0,go_nogo_deval,424,,<div></div>,32,1400,test,,,,,,,,,,
,-1,-1,500,0,prompt_fixation,poldrack-single-stim,43,52173,0.0-3.0-40.0,go_nogo_deval,424,,<div class = centerbox><div class = fixation>+</div></div>,none,500,practice,,,,,,,,,,
,451,32,850,0,stim,go1,44,53025,0.0-3.0-41.0,go_nogo_deval,424,,<img class = center src='/static/experiments/go_nogo_deval/images/purple_pentagon.png'></img>,32,850,practice,purple_pentagon,32,13,0,,,,,,
,-1,-1,1400,0,stim,poldrack-single-stim,45,54427,0.0-3.0-42.0,go_nogo_deval,424,,<div></div>,32,1400,test,,,,,,,,,,
,-1,-1,500,0,prompt_fixation,poldrack-single-stim,46,54930,0.0-3.0-43.0,go_nogo_deval,424,,<div class = centerbox><div class = fixation>+</div></div>,none,500,practice,,,,,,,,,,
,474,32,850,0,stim,go1,47,55781,0.0-3.0-44.0,go_nogo_deval,424,,<img class = center src='/static/experiments/go_nogo_deval/images/purple_pentagon.png'></img>,32,850,practice,purple_pentagon,32,14,0,,,,,,
,-1,-1,1400,0,stim,poldrack-single-stim,48,57182,0.0-3.0-45.0,go_nogo_deval,424,,<div></div>,32,1400,test,,,,,,,,,,
,-1,-1,500,0,prompt_fixation,poldrack-single-stim,49,57684,0.0-3.0-46.0,go_nogo_deval,424,,<div class = centerbox><div class = fixation>+</div></div>,none,500,practice,,,,,,,,,,
,498,32,850,0,stim,go1,50,58536,0.0-3.0-47.0,go_nogo_deval,424,,<img class = center src='/static/experiments/go_nogo_deval/images/purple_pentagon.png'></img>,32,850,practice,purple_pentagon,32,15,0,,,,,,
,-1,-1,1400,0,stim,poldrack-single-stim,51,59938,0.0-3.0-48.0,go_nogo_deval,424,,<div></div>,32,1400,test,,,,,,,,,,
,-1,-1,500,0,prompt_fixation,poldrack-single-stim,52,60440,0.0-3.0-49.0,go_nogo_deval,424,,<div class = centerbox><div class = fixation>+</div></div>,none,500,practice,,,,,,,,,,
,465,32,850,0,stim,go1,53,61292,0.0-3.0-50.0,go_nogo_deval,424,,<img class = center src='/static/experiments/go_nogo_deval/images/purple_pentagon.png'></img>,32,850,practice,purple_pentagon,32,16,0,,,,,,
,-1,-1,1400,0,stim,poldrack-single-stim,54,62694,0.0-3.0-51.0,go_nogo_deval,424,,<div></div>,32,1400,test,,,,,,,,,,
,-1,-1,500,0,prompt_fixation,poldrack-single-stim,55,63195,0.0-3.0-52.0,go_nogo_deval,424,,<div class = centerbox><div class = fixation>+</div></div>,none,500,practice,,,,,,,,,,
,422,32,850,0,stim,go2,56,64047,0.0-3.0-53.0,go_nogo_deval,424,,<img class = center src='/static/experiments/go_nogo_deval/images/green_rhombus.png'></img>,32,850,practice,green_rhombus,32,17,0,,,,,,
,-1,-1,1400,0,stim,poldrack-single-stim,57,65449,0.0-3.0-54.0,go_nogo_deval,424,,<div></div>,32,1400,test,,,,,,,,,,
,17629,13,17629,0,practice-no-stop-feedback,poldrack-single-stim,58,83080,0.0-4.0,go_nogo_deval,424,,<div class = centerbox><p class = block-text><br>Please take this time to read your feedback and to take a short break! Press enter to continue</p><p class = block-text><strong>Average reaction time:  488 ms. Accuracy: 42%</strong></p><p class = block-text>Done with this practice.</p></div>,13,17629,,,,,,,,,,,
,45877,13,45877,0,main_stop_intro_phase3,poldrack-single-stim,59,128958,0.0-5.0,go_nogo_deval,424,,"<div class = centerbox><p class = block-text>We will now start the main phase of the experiment.<br><br>These trials are the same as the trials that you have just completed. <br><br>The rules for each shape are as follows:  <br><ul list-text><li>pentagon: spacebar</li><li>rhombus: spacebar</li><li>triangle: no response</li><li>circle: no response</li></ul></p><p class = block-text>Remember these rules before you proceed, as they will no longer be presented during the trial.</p><p class = block-text>Press <strong> enter</strong> to begin.</p></div>",13,45877,,,,,,,,,,,
,2665,13,2665,0,practice-no-stop-feedback,poldrack-single-stim,60,131623,0.0-6.0-0.0,go_nogo_deval,424,,"<div class = centerbox><p class = block-text>We will now start with a test session. In this test, concentrate on responding quickly and accurately to each stimuli unless it requires no response.</p><p class = block-text>Press enter to continue.</p></div>",13,2665,,,,,,,,,,,
,-1,-1,500,0,fixation,poldrack-single-stim,61,132125,0.0-6.0-1.0,go_nogo_deval,424,,<div class = centerbox><div class = fixation>+</div></div>,none,500,test,,,,,,,,,,
,420,32,850,0,stim,go2,62,132977,0.0-6.0-2.0,go_nogo_deval,424,,<img class = center src='/static/experiments/go_nogo_deval/images/green_rhombus.png'></img>,32,850,test,green_rhombus,32,0,0,,,,,,
,-1,-1,1400,0,stim,poldrack-single-stim,63,134379,0.0-6.0-3.0,go_nogo_deval,424,,<div></div>,32,1400,test,,,,,,,,,,
,-1,-1,500,0,fixation,poldrack-single-stim,64,134880,0.0-6.0-4.0,go_nogo_deval,424,,<div class = centerbox><div class = fixation>+</div></div>,none,500,test,,,,,,,,,,
,467,32,850,0,stim,go2,65,135732,0.0-6.0-5.0,go_nogo_deval,424,,<img class = center src='/static/experiments/go_nogo_deval/images/green_rhombus.png'></img>,32,850,test,green_rhombus,32,1,0,,,,,,
,-1,-1,1400,0,stim,poldrack-single-stim,66,137134,0.0-6.0-6.0,go_nogo_deval,424,,<div></div>,32,1400,test,,,,,,,,,,
,-1,-1,500,0,fixation,poldrack-single-stim,67,137636,0.0-6.0-7.0,go_nogo_deval,424,,<div class = centerbox><div class = fixation>+</div></div>,none,500,test,,,,,,,,,,
,400,32,850,0,stim,go2,68,138488,0.0-6.0-8.0,go_nogo_deval,424,,<img class = center src='/static/experiments/go_nogo_deval/images/green_rhombus.png'></img>,32,850,test,green_rhombus,32,2,0,,,,,,
,-1,-1,1400,0,stim,poldrack-single-stim,69,139889,0.0-6.0-9.0,go_nogo_deval,424,,<div></div>,32,1400,test,,,,,,,,,,
,-1,-1,500,0,fixation,poldrack-single-stim,70,140390,0.0-6.0-10.0,go_nogo_deval,424,,<div class = centerbox><div class = fixation>+</div></div>,none,500,test,,,,,,,,,,
,-1,-1,850,0,stim,nogo2,71,141242,0.0-6.0-11.0,go_nogo_deval,424,,<img class = center src='/static/experiments/go_nogo_deval/images/blue_circle.png'></img>,32,850,test,blue_circle,-1,3,0,,,,,,
,-1,-1,1400,0,stim,poldrack-single-stim,72,142644,0.0-6.0-12.0,go_nogo_deval,424,,<div></div>,32,1400,test,,,,,,,,,,
,-1,-1,500,0,fixation,poldrack-single-stim,73,143146,0.0-6.0-13.0,go_nogo_deval,424,,<div class = centerbox><div class = fixation>+</div></div>,none,500,test,,,,,,,,,,
,369,32,850,0,stim,go1,74,143998,0.0-6.0-14.0,go_nogo_deval,424,,<img class = center src='/static/experiments/go_nogo_deval/images/purple_pentagon.png'></img>,32,850,test,purple_pentagon,32,4,0,,,,,,
,-1,-1,1400,0,stim,poldrack-single-stim,75,145400,0.0-6.0-15.0,go_nogo_deval,424,,<div></div>,32,1400,test,,,,,,,,,,
,-1,-1,500,0,fixation,poldrack-single-stim,76,145901,0.0-6.0-16.0,go_nogo_deval,424,,<div class = centerbox><div class = fixation>+</div></div>,none,500,test,,,,,,,,,,
,-1,-1,850,0,stim,nogo1,77,146753,0.0-6.0-17.0,go_nogo_deval,424,,<img class = center src='/static/experiments/go_nogo_deval/images/red_triangle.png'></img>,32,850,test,red_triangle,-1,5,0,,,,,,
,-1,-1,1400,0,stim,poldrack-single-stim,78,148155,0.0-6.0-18.0,go_nogo_deval,424,,<div></div>,32,1400,test,,,,,,,,,,
,-1,-1,500,0,fixation,poldrack-single-stim,79,148656,0.0-6.0-19.0,go_nogo_deval,424,,<div class = centerbox><div class = fixation>+</div></div>,none,500,test,,,,,,,,,,
,471,32,850,0,stim,go2,80,149508,0.0-6.0-20.0,go_nogo_deval,424,,<img class = center src='/static/experiments/go_nogo_deval/images/green_rhombus.png'></img>,32,850,test,green_rhombus,32,6,0,,,,,,
,-1,-1,1400,0,stim,poldrack-single-stim,81,150910,0.0-6.0-21.0,go_nogo_deval,424,,<div></div>,32,1400,test,,,,,,,,,,
,-1,-1,500,0,fixation,poldrack-single-stim,82,151411,0.0-6.0-22.0,go_nogo_deval,424,,<div class = centerbox><div class = fixation>+</div></div>,none,500,test,,,,,,,,,,
,-1,-1,850,0,stim,nogo1,83,152263,0.0-6.0-23.0,go_nogo_deval,424,,<img class = center src='/static/experiments/go_nogo_deval/images/red_triangle.png'></img>,32,850,test,red_triangle,-1,7,0,,,,,,
,-1,-1,1400,0,stim,poldrack-single-stim,84,153665,0.0-6.0-24.0,go_nogo_deval,424,,<div></div>,32,1400,test,,,,,,,,,,
,-1,-1,500,0,fixation,poldrack-single-stim,85,154168,0.0-6.0-25.0,go_nogo_deval,424,,<div class = centerbox><div class = fixation>+</div></div>,none,500,test,,,,,,,,,,
,-1,-1,850,0,stim,nogo2,86,155020,0.0-6.0-26.0,go_nogo_deval,424,,<img class = center src='/static/experiments/go_nogo_deval/images/blue_circle.png'></img>,32,850,test,blue_circle,-1,8,0,,,,,,
,-1,-1,1400,0,stim,poldrack-single-stim,87,156421,0.0-6.0-27.0,go_nogo_deval,424,,<div></div>,32,1400,test,,,,,,,,,,
,-1,-1,500,0,fixation,poldrack-single-stim,88,156923,0.0-6.0-28.0,go_nogo_deval,424,,<div class = centerbox><div class = fixation>+</div></div>,none,500,test,,,,,,,,,,
,-1,-1,850,0,stim,nogo2,89,157774,0.0-6.0-29.0,go_nogo_deval,424,,<img class = center src='/static/experiments/go_nogo_deval/images/blue_circle.png'></img>,32,850,test,blue_circle,-1,9,0,,,,,,
,-1,-1,1400,0,stim,poldrack-single-stim,90,159176,0.0-6.0-30.0,go_nogo_deval,424,,<div></div>,32,1400,test,,,,,,,,,,
,-1,-1,500,0,fixation,poldrack-single-stim,91,159678,0.0-6.0-31.0,go_nogo_deval,424,,<div class = centerbox><div class = fixation>+</div></div>,none,500,test,,,,,,,,,,
,-1,-1,850,0,stim,nogo1,92,160529,0.0-6.0-32.0,go_nogo_deval,424,,<img class = center src='/static/experiments/go_nogo_deval/images/red_triangle.png'></img>,32,850,test,red_triangle,-1,10,0,,,,,,
,-1,-1,1400,0,stim,poldrack-single-stim,93,161931,0.0-6.0-33.0,go_nogo_deval,424,,<div></div>,32,1400,test,,,,,,,,,,
,-1,-1,500,0,fixation,poldrack-single-stim,94,162433,0.0-6.0-34.0,go_nogo_deval,424,,<div class = centerbox><div class = fixation>+</div></div>,none,500,test,,,,,,,,,,
,409,32,850,0,stim,go1,95,163285,0.0-6.0-35.0,go_nogo_deval,424,,<img class = center src='/static/experiments/go_nogo_deval/images/purple_pentagon.png'></img>,32,850,test,purple_pentagon,32,11,0,,,,,,
,-1,-1,1400,0,stim,poldrack-single-stim,96,164687,0.0-6.0-36.0,go_nogo_deval,424,,<div></div>,32,1400,test,,,,,,,,,,
,-1,-1,500,0,fixation,poldrack-single-stim,97,165189,0.0-6.0-37.0,go_nogo_deval,424,,<div class = centerbox><div class = fixation>+</div></div>,none,500,test,,,,,,,,,,
,-1,-1,850,0,stim,nogo2,98,166040,0.0-6.0-38.0,go_nogo_deval,424,,<img class = center src='/static/experiments/go_nogo_deval/images/blue_circle.png'></img>,32,850,test,blue_circle,-1,12,0,,,,,,
,-1,-1,1400,0,stim,poldrack-single-stim,99,167441,0.0-6.0-39.0,go_nogo_deval,424,,<div></div>,32,1400,test,,,,,,,,,,
,-1,-1,500,0,fixation,poldrack-single-stim,100,167943,0.0-6.0-40.0,go_nogo_deval,424,,<div class = centerbox><div class = fixation>+</div></div>,none,500,test,,,,,,,,,,
,388,32,850,0,stim,go1,101,168795,0.0-6.0-41.0,go_nogo_deval,424,,<img class = center src='/static/experiments/go_nogo_deval/images/purple_pentagon.png'></img>,32,850,test,purple_pentagon,32,13,0,,,,,,
,-1,-1,1400,0,stim,poldrack-single-stim,102,170197,0.0-6.0-42.0,go_nogo_deval,424,,<div></div>,32,1400,test,,,,,,,,,,
,-1,-1,500,0,fixation,poldrack-single-stim,103,170698,0.0-6.0-43.0,go_nogo_deval,424,,<div class = centerbox><div class = fixation>+</div></div>,none,500,test,,,,,,,,,,
,379,32,850,0,stim,go1,104,171550,0.0-6.0-44.0,go_nogo_deval,424,,<img class = center src='/static/experiments/go_nogo_deval/images/purple_pentagon.png'></img>,32,850,test,purple_pentagon,32,14,0,,,,,,
,-1,-1,1400,0,stim,poldrack-single-stim,105,172952,0.0-6.0-45.0,go_nogo_deval,424,,<div></div>,32,1400,test,,,,,,,,,,
,-1,-1,500,0,fixation,poldrack-single-stim,106,173454,0.0-6.0-46.0,go_nogo_deval,424,,<div class = centerbox><div class = fixation>+</div></div>,none,500,test,,,,,,,,,,
,459,32,850,0,stim,go1,107,174306,0.0-6.0-47.0,go_nogo_deval,424,,<img class = center src='/static/experiments/go_nogo_deval/images/purple_pentagon.png'></img>,32,850,test,purple_pentagon,32,15,0,,,,,,
,-1,-1,1400,0,stim,poldrack-single-stim,108,175708,0.0-6.0-48.0,go_nogo_deval,424,,<div></div>,32,1400,test,,,,,,,,,,
,-1,-1,500,0,fixation,poldrack-single-stim,109,176210,0.0-6.0-49.0,go_nogo_deval,424,,<div class = centerbox><div class = fixation>+</div></div>,none,500,test,,,,,,,,,,
,-1,-1,850,0,stim,nogo2,110,177061,0.0-6.0-50.0,go_nogo_deval,424,,<img class = center src='/static/experiments/go_nogo_deval/images/blue_circle.png'></img>,32,850,test,blue_circle,-1,16,0,,,,,,
,-1,-1,1400,0,stim,poldrack-single-stim,111,178462,0.0-6.0-51.0,go_nogo_deval,424,,<div></div>,32,1400,test,,,,,,,,,,
,-1,-1,500,0,fixation,poldrack-single-stim,112,178963,0.0-6.0-52.0,go_nogo_deval,424,,<div class = centerbox><div class = fixation>+</div></div>,none,500,test,,,,,,,,,,
,337,32,850,0,stim,go1,113,179814,0.0-6.0-53.0,go_nogo_deval,424,,<img class = center src='/static/experiments/go_nogo_deval/images/purple_pentagon.png'></img>,32,850,test,purple_pentagon,32,17,0,,,,,,
,-1,-1,1400,0,stim,poldrack-single-stim,114,181215,0.0-6.0-54.0,go_nogo_deval,424,,<div></div>,32,1400,test,,,,,,,,,,
,-1,-1,500,0,fixation,poldrack-single-stim,115,181717,0.0-6.0-55.0,go_nogo_deval,424,,<div class = centerbox><div class = fixation>+</div></div>,none,500,test,,,,,,,,,,
,486,32,850,0,stim,go2,116,182569,0.0-6.0-56.0,go_nogo_deval,424,,<img class = center src='/static/experiments/go_nogo_deval/images/green_rhombus.png'></img>,32,850,test,green_rhombus,32,18,0,,,,,,
,-1,-1,1400,0,stim,poldrack-single-stim,117,183970,0.0-6.0-57.0,go_nogo_deval,424,,<div></div>,32,1400,test,,,,,,,,,,
,-1,-1,500,0,fixation,poldrack-single-stim,118,184472,0.0-6.0-58.0,go_nogo_deval,424,,<div class = centerbox><div class = fixation>+</div></div>,none,500,test,,,,,,,,,,
,442,32,850,0,stim,go2,119,185323,0.0-6.0-59.0,go_nogo_deval,424,,<img class = center src='/static/experiments/go_nogo_deval/images/green_rhombus.png'></img>,32,850,test,green_rhombus,32,19,0,,,,,,
,-1,-1,1400,0,stim,poldrack-single-stim,120,186725,0.0-6.0-60.0,go_nogo_deval,424,,<div></div>,32,1400,test,,,,,,,,,,
,-1,-1,500,0,fixation,poldrack-single-stim,121,187226,0.0-6.0-61.0,go_nogo_deval,424,,<div class = centerbox><div class = fixation>+</div></div>,none,500,test,,,,,,,,,,
,434,32,850,0,stim,go2,122,188078,0.0-6.0-62.0,go_nogo_deval,424,,<img class = center src='/static/experiments/go_nogo_deval/images/green_rhombus.png'></img>,32,850,test,green_rhombus,32,20,0,,,,,,
,-1,-1,1400,0,stim,poldrack-single-stim,123,189479,0.0-6.0-63.0,go_nogo_deval,424,,<div></div>,32,1400,test,,,,,,,,,,
,-1,-1,500,0,fixation,poldrack-single-stim,124,189981,0.0-6.0-64.0,go_nogo_deval,424,,<div class = centerbox><div class = fixation>+</div></div>,none,500,test,,,,,,,,,,
,-1,-1,850,0,stim,nogo1,125,190832,0.0-6.0-65.0,go_nogo_deval,424,,<img class = center src='/static/experiments/go_nogo_deval/images/red_triangle.png'></img>,32,850,test,red_triangle,-1,21,0,,,,,,
,-1,-1,1400,0,stim,poldrack-single-stim,126,192233,0.0-6.0-66.0,go_nogo_deval,424,,<div></div>,32,1400,test,,,,,,,,,,
,-1,-1,500,0,fixation,poldrack-single-stim,127,192735,0.0-6.0-67.0,go_nogo_deval,424,,<div class = centerbox><div class = fixation>+</div></div>,none,500,test,,,,,,,,,,
,-1,-1,850,0,stim,nogo2,128,193587,0.0-6.0-68.0,go_nogo_deval,424,,<img class = center src='/static/experiments/go_nogo_deval/images/blue_circle.png'></img>,32,850,test,blue_circle,-1,22,0,,,,,,
,-1,-1,1400,0,stim,poldrack-single-stim,129,194988,0.0-6.0-69.0,go_nogo_deval,424,,<div></div>,32,1400,test,,,,,,,,,,
,-1,-1,500,0,fixation,poldrack-single-stim,130,195490,0.0-6.0-70.0,go_nogo_deval,424,,<div class = centerbox><div class = fixation>+</div></div>,none,500,test,,,,,,,,,,
,349,32,850,0,stim,go1,131,196342,0.0-6.0-71.0,go_nogo_deval,424,,<img class = center src='/static/experiments/go_nogo_deval/images/purple_pentagon.png'></img>,32,850,test,purple_pentagon,32,23,0,,,,,,
,-1,-1,1400,0,stim,poldrack-single-stim,132,197744,0.0-6.0-72.0,go_nogo_deval,424,,<div></div>,32,1400,test,,,,,,,,,,
,-1,-1,500,0,fixation,poldrack-single-stim,133,198247,0.0-6.0-73.0,go_nogo_deval,424,,<div class = centerbox><div class = fixation>+</div></div>,none,500,test,,,,,,,,,,
,506,32,850,0,stim,go2,134,199098,0.0-6.0-74.0,go_nogo_deval,424,,<img class = center src='/static/experiments/go_nogo_deval/images/green_rhombus.png'></img>,32,850,test,green_rhombus,32,24,0,,,,,,
,-1,-1,1400,0,stim,poldrack-single-stim,135,200499,0.0-6.0-75.0,go_nogo_deval,424,,<div></div>,32,1400,test,,,,,,,,,,
,-1,-1,500,0,fixation,poldrack-single-stim,136,201001,0.0-6.0-76.0,go_nogo_deval,424,,<div class = centerbox><div class = fixation>+</div></div>,none,500,test,,,,,,,,,,
,452,32,850,0,stim,go1,137,201853,0.0-6.0-77.0,go_nogo_deval,424,,<img class = center src='/static/experiments/go_nogo_deval/images/purple_pentagon.png'></img>,32,850,test,purple_pentagon,32,25,0,,,,,,
,-1,-1,1400,0,stim,poldrack-single-stim,138,203254,0.0-6.0-78.0,go_nogo_deval,424,,<div></div>,32,1400,test,,,,,,,,,,
